,Tracker ID,TrackerLOC,ParentID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Chinese Name,Other names,Owner,Parent,Capacity (MW),Status,Year,RETIRED,Planned Retire,Combustion technology,Coal type,Coal source,Location,"Local area (taluk, county)","Major area (prefecture, district)",Subregion,Region,Previous Region,Latitude,Longitude,Accuracy,Permits,Captive,Captive industry use,Captive residential use,Alternate Fuel,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Capacity factor,Annual CO2 (million tonnes / annum),Lifetime CO2,Remaining plant lifetime (years),bws_score,coal_price,Predicted_HR
1111,G107109,L102217,P100017,https://www.gem.wiki/Mundra_Thermal_Power_Project_(Adani),India,Gujarat,Phase IV Unit 8,Mundra Thermal Power Project (Adani),,,Adani Power Ltd,Adani Group,660.0,operating,2012.0,,,supercritical,bituminous,,Tunda,Mundra,Kutch,Southern Asia,Asia,South Asia,22.8235448,69.5574957,exact,,,,,,9250,"94,600",53%,2.8,84.9,30,4.67631704483643,3.7,11.338244748767984
1112,G107110,L102217,P100017,https://www.gem.wiki/Mundra_Thermal_Power_Project_(Adani),India,Gujarat,Phase IV Unit 9,Mundra Thermal Power Project (Adani),,,Adani Power Ltd,Adani Group,660.0,operating,2012.0,,,supercritical,bituminous,,Tunda,Mundra,Kutch,Southern Asia,Asia,South Asia,22.8235448,69.5574957,exact,,,,,,9250,"94,600",53%,2.8,84.9,30,4.67631704483643,3.7,11.338244748767984
1118,G107134,L102055,P104508,https://www.gem.wiki/Muthukur_Mandal_power_station_(Painampuram),India,Andhra Pradesh,Unit 1,Muthukur Mandal power station (Painampuram),,SGPL Power Project; Sembcorp Gayatri Power Complex,Sembcorp Energy India Limited,Tanweer Infrastructure,660.0,operating,2016.0,,,supercritical,unknown,Imported from Indonesia,Painampuram & Sivarampuram,Muthukur,Nellore,Southern Asia,Asia,South Asia,14.351195,80.143086,exact,EC 30 Sept 2010 at http://bit.ly/1g4Ekuk,,,,,8409,"96,100",53%,2.6,88.8,34,4.61612784400043,3.43,10.609138940952093
1119,G107135,L102055,P104508,https://www.gem.wiki/Muthukur_Mandal_power_station_(Painampuram),India,Andhra Pradesh,Unit 2,Muthukur Mandal power station (Painampuram),,SGPL Power Project; Sembcorp Gayatri Power Complex,Sembcorp Energy India Limited,Tanweer Infrastructure,660.0,operating,2017.0,,,supercritical,unknown,Imported from Indonesia,Painampuram & Sivarampuram,Muthukur,Nellore,Southern Asia,Asia,South Asia,14.351195,80.143086,exact,EC 30 Sept 2010 at http://bit.ly/1g4Ekuk,,,,,8409,"96,100",53%,2.6,91.4,35,4.61612784400043,3.43,10.594721401424064
1128,G107158,L102113,P101047,https://www.gem.wiki/Nabinagar_Super_Thermal_Power_Project,India,Bihar,Unit 1,Nabinagar Super Thermal Power Project,,New Nabi Nagar,Nabinagar Power Generating Company,NTPC,660.0,operating,2019.0,,,supercritical,unknown,,Majhiyan and Ankorha,Nabinagar,Aurangabad,Southern Asia,Asia,South Asia,24.7760001,84.1580254,exact,EC 12/27/2010 at http://bit.ly/1b4sAmQ,,,,,8409,"96,100",53%,2.6,96.7,37,3.71304664842659,1.87,10.502316612157454
1129,G107159,L102113,P101047,https://www.gem.wiki/Nabinagar_Super_Thermal_Power_Project,India,Bihar,Unit 2,Nabinagar Super Thermal Power Project,,New Nabi Nagar,Nabinagar Power Generating Company,NTPC,660.0,operating,2021.0,,,supercritical,unknown,,Majhiyan and Ankorha,Nabinagar,Aurangabad,Southern Asia,Asia,South Asia,24.7760001,84.1580254,exact,EC 12/27/2010 at http://bit.ly/1b4sAmQ,,,,,8409,"96,100",53%,2.6,101.9,39,3.71304664842659,1.87,10.4304678768578
1130,G107160,L102113,P101047,https://www.gem.wiki/Nabinagar_Super_Thermal_Power_Project,India,Bihar,Unit 3,Nabinagar Super Thermal Power Project,,New Nabi Nagar,Nabinagar Power Generating Company,NTPC,660.0,operating,2022.0,,,supercritical,unknown,,Majhiyan and Ankorha,Nabinagar,Aurangabad,Southern Asia,Asia,South Asia,24.7760001,84.1580254,exact,EC 12/27/2010 at http://bit.ly/1b4sAmQ,,,,,8409,"96,100",53%,2.6,104.5,40,3.71304664842659,1.87,10.433820827403824
1216,G107506,L102278,P101047,https://www.gem.wiki/North_Karanpura_power_station,India,Jharkhand,Unit 1,North Karanpura power station,,,NTPC Ltd,NTPC,660.0,operating,2022.0,,,supercritical,unknown,,Tandwa town,,Chatra,Southern Asia,Asia,South Asia,23.8507722,85.0124109,exact,,,,,,8409,"96,100",53%,2.6,104.5,40,1.34475494008816,1.59,10.444944670646276
1341,G108415,L102681,P100339,https://www.gem.wiki/Raghunathpur_Thermal_Power_Station,India,West Bengal,Unit 1,Raghunathpur Thermal Power Station,,,Damodar Valley Corporation,Damodar Valley Corporation,600.0,operating,2014.0,,,supercritical,unknown,,Bhaldubi,Ragunathpur,Purulia,Southern Asia,Asia,South Asia,23.6219101,86.6607034,exact,EC 18 Oct 2007 at http://bit.ly/1n4Sai4,,,,,8409,"96,100",53%,2.4,76.0,32,0.695916582485208,1.99,10.687682722197156
1342,G108416,L102681,P100339,https://www.gem.wiki/Raghunathpur_Thermal_Power_Station,India,West Bengal,Unit 2,Raghunathpur Thermal Power Station,,,Damodar Valley Corporation,Damodar Valley Corporation,600.0,operating,2016.0,,,supercritical,unknown,,Bhaldubi,Ragunathpur,Purulia,Southern Asia,Asia,South Asia,23.6219101,86.6607034,exact,EC 18 Oct 2007 at http://bit.ly/1n4Sai4,,,,,8409,"96,100",53%,2.4,80.8,34,0.695916582485208,1.99,10.596429538492622
1367,G108445,L102173,P100017,https://www.gem.wiki/Raikheda_power_station,India,Chhattisgarh,Unit 1,Raikheda power station,,,Raipur Energen,Adani Group,685.0,operating,2015.0,,,supercritical,bituminous,,"Raikheda, Gaitra, and Chicoli",Tilda,Raipur,Southern Asia,Asia,South Asia,21.4499182,81.8524736,exact,EC: 9 May 2011 at http://bit.ly/1kPQDwi,,,,,8409,"94,600",53%,2.7,88.1,33,4.79908587719454,1.59,10.581147321865421
1368,G108446,L102173,P100017,https://www.gem.wiki/Raikheda_power_station,India,Chhattisgarh,Unit 2,Raikheda power station,,,Raipur Energen,Adani Group,685.0,operating,2016.0,,,supercritical,bituminous,,"Raikheda, Gaitra, and Chicoli",Tilda,Raipur,Southern Asia,Asia,South Asia,21.4499182,81.8524736,exact,EC: 9 May 2011 at http://bit.ly/1kPQDwi,,,,,8409,"94,600",53%,2.7,90.8,34,4.79908587719454,1.59,10.577602968194183
1381,G108460,L102515,P100864,https://www.gem.wiki/Rajpura_Thermal_Power_Project,India,Punjab state,Unit 1,Rajpura Thermal Power Project,,site changed from Nabha,Nabha Power Ltd,Larsen & Toubro,700.0,operating,2014.0,,,supercritical,sub-bit,,Nalash,Rajpura,Patiala,Southern Asia,Asia,South Asia,30.5589628,76.5775931,exact,EC 3 Oct 2008 at http://bit.ly/1lcNp5o; EC extension 5 Feb 2014 at http://bit.ly/1lcQ6Uh,,,,,8409,"96,100",53%,2.8,88.7,32,5.0,,10.583528735132445
1382,G108461,L102515,P100864,https://www.gem.wiki/Rajpura_Thermal_Power_Project,India,Punjab state,Unit 2,Rajpura Thermal Power Project,,site changed from Nabha,Nabha Power Ltd,Larsen & Toubro,700.0,operating,2014.0,,,supercritical,sub-bit,,Nalash,Rajpura,Patiala,Southern Asia,Asia,South Asia,30.5589628,76.5775931,exact,EC 3 Oct 2008 at http://bit.ly/1lcNp5o; EC extension 5 Feb 2014 at http://bit.ly/1lcQ6Uh,,,,,8409,"96,100",53%,2.8,88.7,32,5.0,,10.583528735132445
