,Tracker ID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Capacity (MW),Year,Combustion technology,Status,Latitude,Longitude,Heat rate (Btu per kWh),Remaining plant lifetime (years),bws_score,coal_price,Predicted_HR_50.0,Predicted_HR_70.0,Predicted_HR_90.0
1119,G107135,https://www.gem.wiki/Muthukur_Mandal_power_station_(Painampuram),India,Andhra Pradesh,Unit 2,Muthukur Mandal power station (Painampuram),660.0,2017.0,supercritical,operating,14.351195,80.143086,8409,35,4.61612784400043,3.43,10.89892985298174,10.932497522761032,10.575285759102831
1128,G107158,https://www.gem.wiki/Nabinagar_Super_Thermal_Power_Project,India,Bihar,Unit 1,Nabinagar Super Thermal Power Project,660.0,2019.0,supercritical,operating,24.7760001,84.1580254,8409,37,3.71304664842659,1.87,10.788084719727836,10.677988659686756,10.391693992604065
1129,G107159,https://www.gem.wiki/Nabinagar_Super_Thermal_Power_Project,India,Bihar,Unit 2,Nabinagar Super Thermal Power Project,660.0,2021.0,supercritical,operating,24.7760001,84.1580254,8409,39,3.71304664842659,1.87,10.788084719727836,10.677988659686756,10.391693992604065
1130,G107160,https://www.gem.wiki/Nabinagar_Super_Thermal_Power_Project,India,Bihar,Unit 3,Nabinagar Super Thermal Power Project,660.0,2022.0,supercritical,operating,24.7760001,84.1580254,8409,40,3.71304664842659,1.87,10.788084719727836,10.677988659686756,10.391693992604065
1216,G107506,https://www.gem.wiki/North_Karanpura_power_station,India,Jharkhand,Unit 1,North Karanpura power station,660.0,2022.0,supercritical,operating,23.8507722,85.0124109,8409,40,1.34475494008816,1.59,10.787796901249765,10.664955030517445,10.392051499208318
1341,G108415,https://www.gem.wiki/Raghunathpur_Thermal_Power_Station,India,West Bengal,Unit 1,Raghunathpur Thermal Power Station,600.0,2014.0,supercritical,operating,23.6219101,86.6607034,8409,32,0.695916582485208,1.99,10.943704663533554,10.850188412633026,10.505554683677534
1342,G108416,https://www.gem.wiki/Raghunathpur_Thermal_Power_Station,India,West Bengal,Unit 2,Raghunathpur Thermal Power Station,600.0,2016.0,supercritical,operating,23.6219101,86.6607034,8409,34,0.695916582485208,1.99,10.943704663533554,10.850188412633026,10.505554683677534
1367,G108445,https://www.gem.wiki/Raikheda_power_station,India,Chhattisgarh,Unit 1,Raikheda power station,685.0,2015.0,supercritical,operating,21.4499182,81.8524736,8409,33,4.79908587719454,1.59,10.913485823870472,10.791378203946305,10.485381491008376
1368,G108446,https://www.gem.wiki/Raikheda_power_station,India,Chhattisgarh,Unit 2,Raikheda power station,685.0,2016.0,supercritical,operating,21.4499182,81.8524736,8409,34,4.79908587719454,1.59,10.913485823870472,10.791378203946305,10.485381491008376
1381,G108460,https://www.gem.wiki/Rajpura_Thermal_Power_Project,India,Punjab state,Unit 1,Rajpura Thermal Power Project,700.0,2014.0,supercritical,operating,30.5589628,76.5775931,8409,32,5.0,,10.843211276766036,10.713953162667984,10.445369905547942
1382,G108461,https://www.gem.wiki/Rajpura_Thermal_Power_Project,India,Punjab state,Unit 2,Rajpura Thermal Power Project,700.0,2014.0,supercritical,operating,30.5589628,76.5775931,8409,32,5.0,,10.843211276766036,10.713953162667984,10.445369905547942
1509,G108831,https://www.gem.wiki/Sasan_Ultra_Mega_Power_Project,India,Madhya Pradesh,Unit 1,Sasan Ultra Mega Power Project,660.0,2013.0,supercritical,operating,23.9775233,82.6264733,8409,31,3.71304664842659,1.72,10.911195877556873,10.807153190047327,10.481542750311515
1510,G108832,https://www.gem.wiki/Sasan_Ultra_Mega_Power_Project,India,Madhya Pradesh,Unit 2,Sasan Ultra Mega Power Project,660.0,2014.0,supercritical,operating,23.9775233,82.6264733,8409,32,3.71304664842659,1.72,10.911195877556873,10.807153190047327,10.481542750311515
1511,G108833,https://www.gem.wiki/Sasan_Ultra_Mega_Power_Project,India,Madhya Pradesh,Unit 3,Sasan Ultra Mega Power Project,660.0,2014.0,supercritical,operating,23.9775233,82.6264733,8409,32,3.71304664842659,1.72,10.911195877556873,10.807153190047327,10.481542750311515
1512,G108834,https://www.gem.wiki/Sasan_Ultra_Mega_Power_Project,India,Madhya Pradesh,Unit 4,Sasan Ultra Mega Power Project,660.0,2014.0,supercritical,operating,23.9775233,82.6264733,8409,32,3.71304664842659,1.72,10.911195877556873,10.807153190047327,10.481542750311515
1513,G108835,https://www.gem.wiki/Sasan_Ultra_Mega_Power_Project,India,Madhya Pradesh,Unit 5,Sasan Ultra Mega Power Project,660.0,2014.0,supercritical,operating,23.9775233,82.6264733,8409,32,3.71304664842659,1.72,10.911195877556873,10.807153190047327,10.481542750311515
1514,G108836,https://www.gem.wiki/Sasan_Ultra_Mega_Power_Project,India,Madhya Pradesh,Unit 6,Sasan Ultra Mega Power Project,660.0,2015.0,supercritical,operating,23.9775233,82.6264733,8409,33,3.71304664842659,1.72,10.911195877556873,10.807153190047327,10.481542750311515
1555,G109308,https://www.gem.wiki/Shree_Singaji_Thermal_Power_Project,India,Madhya Pradesh,Stage II Unit 3,Shree Singaji Thermal Power Project,660.0,2018.0,supercritical,operating,22.0991399,76.5317273,8409,36,4.90875780172022,1.72,10.911195877556873,10.807153190047327,10.481542750311515
1556,G109309,https://www.gem.wiki/Shree_Singaji_Thermal_Power_Project,India,Madhya Pradesh,Stage II Unit 4,Shree Singaji Thermal Power Project,660.0,2019.0,supercritical,operating,22.0991399,76.5317273,8409,37,4.90875780172022,1.72,10.911195877556873,10.807153190047327,10.481542750311515
1596,G109450,https://www.gem.wiki/Sipat_power_station,India,Chhattisgarh,Unit 1,Sipat power station,660.0,2011.0,supercritical,operating,22.1316619,82.2903496,9250,29,3.43985463530556,1.59,10.915687235738622,10.791819324745642,10.485146257892389
1597,G109451,https://www.gem.wiki/Sipat_power_station,India,Chhattisgarh,Unit 2,Sipat power station,660.0,2011.0,supercritical,operating,22.1316619,82.2903496,9250,29,3.43985463530556,1.59,10.915687235738622,10.791819324745642,10.485146257892389
1598,G109452,https://www.gem.wiki/Sipat_power_station,India,Chhattisgarh,Unit 3,Sipat power station,660.0,2012.0,supercritical,operating,22.1316619,82.2903496,9250,30,3.43985463530556,1.59,10.915687235738622,10.791819324745642,10.485146257892389
