,Tracker ID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Capacity (MW),Year,Combustion technology,Status,Latitude,Longitude,Heat rate (Btu per kWh),Remaining plant lifetime (years),bws_score,coal_price,Predicted_HR_50.0,Predicted_HR_70.0,Predicted_HR_90.0
59,G100231,https://www.gem.wiki/Angul_Steel_power_station,India,Odisha,Unit 4,Angul Steel power station,135.0,2013.0,subcritical,operating,20.8924742,84.9903899,10442,31,1.25523041845347,1.66,13.041239979528072,12.694884369642528,12.663297938625233
60,G100232,https://www.gem.wiki/Angul_Steel_power_station,India,Odisha,Unit 5,Angul Steel power station,135.0,2013.0,subcritical,operating,20.8924742,84.9903899,10442,31,1.25523041845347,1.66,13.041239979528072,12.694884369642528,12.663297938625233
61,G100233,https://www.gem.wiki/Angul_Steel_power_station,India,Odisha,Unit 6,Angul Steel power station,135.0,2014.0,subcritical,operating,20.8924742,84.9903899,10442,32,1.25523041845347,1.66,13.040060445758197,12.673648502113096,12.570437193311003
64,G100253,https://www.gem.wiki/Anpara_power_station,India,Uttar Pradesh,Phase A Unit 1,Anpara power station,210.0,1986.0,subcritical,operating,24.202043,82.7891278,12618,4,3.71304664842659,2.04,13.421093828019758,13.176442569629119,12.880155800153757
65,G100254,https://www.gem.wiki/Anpara_power_station,India,Uttar Pradesh,Phase A Unit 2,Anpara power station,210.0,1987.0,subcritical,operating,24.202043,82.7891278,12618,5,3.71304664842659,2.04,13.410441538955157,13.170105562077184,12.880734852995962
66,G100255,https://www.gem.wiki/Anpara_power_station,India,Uttar Pradesh,Phase A Unit 3,Anpara power station,210.0,1988.0,subcritical,operating,24.202043,82.7891278,12618,6,3.71304664842659,2.04,13.410441538955157,13.170105443619226,12.880734852995962
67,G100256,https://www.gem.wiki/Anpara_power_station,India,Uttar Pradesh,Phase B Unit 1,Anpara power station,500.0,1993.0,subcritical,operating,24.202043,82.7891278,10442,11,3.71304664842659,2.04,12.511833730978816,12.362975210131916,12.197098766572077
68,G100257,https://www.gem.wiki/Anpara_power_station,India,Uttar Pradesh,Phase B Unit 2,Anpara power station,500.0,1994.0,subcritical,operating,24.202043,82.7891278,10442,12,3.71304664842659,2.04,12.515286237157698,12.363387378977135,12.197130075294401
69,G100258,https://www.gem.wiki/Anpara-C_power_station,India,Uttar Pradesh,Unit 1,Anpara-C power station,600.0,2011.0,subcritical,operating,24.2037876,82.79733,9572,29,3.71304664842659,2.04,11.308127237582983,11.112859328275853,10.979315184766591
70,G100259,https://www.gem.wiki/Anpara-C_power_station,India,Uttar Pradesh,Unit 2,Anpara-C power station,600.0,2011.0,subcritical,operating,24.2037876,82.79733,9572,29,3.71304664842659,2.04,11.308127237582983,11.112859328275853,10.979315184766591
