 year,Latitude,Longitude,Maximum Temperature
2020,20.5,93.5,35.9304
2020,20.5,94.5,34.8908
2020,20.5,95.5,
2020,20.5,96.5,
2020,20.5,97.5,
2020,21.5,67.5,35.9965
2020,21.5,68.5,36.6559
2020,21.5,69.5,38.2377
2020,21.5,70.5,42.1475
2020,21.5,71.5,41.674
2020,21.5,72.5,41.5703
2020,21.5,73.5,42.4792
2020,21.5,74.5,43.2568
2020,21.5,75.5,44.4781
2020,21.5,76.5,45.8284
2020,21.5,77.5,45.4893
2020,21.5,78.5,45.0505
2020,21.5,79.5,45.3823
2020,21.5,80.5,44.5565
2020,21.5,81.5,44.9421
2020,21.5,82.5,45.2156
2020,21.5,83.5,44.265
2020,21.5,84.5,41.9748
2020,21.5,85.5,39.7414
2020,21.5,86.5,39.0191
2020,21.5,87.5,35.6332
2020,21.5,88.5,34.848
2020,21.5,89.5,35.6348
2020,21.5,90.5,36.5522
2020,21.5,91.5,37.767
2020,21.5,92.5,37.0084
2020,21.5,93.5,35.9272
2020,21.5,94.5,36.0309
2020,21.5,95.5,36.0201
2020,21.5,96.5,
2020,21.5,97.5,
2020,22.5,67.5,36.5549
2020,22.5,68.5,36.4736
2020,22.5,69.5,37.9082
2020,22.5,70.5,41.9413
2020,22.5,71.5,43.0567
2020,22.5,72.5,43.5279
2020,22.5,73.5,43.2102
2020,22.5,74.5,42.0577
2020,22.5,75.5,43.0936
2020,22.5,76.5,44.1674
2020,22.5,77.5,44.5319
2020,22.5,78.5,42.8921
2020,22.5,79.5,43.7993
2020,22.5,80.5,43.9209
2020,22.5,81.5,43.6006
2020,22.5,82.5,43.9263
2020,22.5,83.5,43.5817
2020,22.5,84.5,41.7198
2020,22.5,85.5,40.0941
2020,22.5,86.5,40.4407
2020,22.5,87.5,38.1882
2020,22.5,88.5,37.8087
2020,22.5,89.5,38.6862
2020,22.5,90.5,37.9426
2020,22.5,91.5,37.0235
2020,22.5,92.5,37.0077
2020,22.5,93.5,36.0438
2020,22.5,94.5,36.0197
2020,22.5,95.5,36.0071
2020,22.5,96.5,36.053
2020,22.5,97.5,
2020,23.5,67.5,36.6388
2020,23.5,68.5,37.7127
2020,23.5,69.5,39.5077
2020,23.5,70.5,42.7624
2020,23.5,71.5,43.0962
2020,23.5,72.5,44.0026
2020,23.5,73.5,43.1126
2020,23.5,74.5,42.5021
2020,23.5,75.5,43.5484
2020,23.5,76.5,44.2123
2020,23.5,77.5,44.3841
2020,23.5,78.5,44.8158
2020,23.5,79.5,44.6553
2020,23.5,80.5,44.3839
2020,23.5,81.5,44.3649
2020,23.5,82.5,43.7612
2020,23.5,83.5,42.8026
2020,23.5,84.5,41.9064
2020,23.5,85.5,39.828
2020,23.5,86.5,39.156
2020,23.5,87.5,39.6522
2020,23.5,88.5,38.913
2020,23.5,89.5,38.8658
2020,23.5,90.5,38.0531
2020,23.5,91.5,35.4636
2020,23.5,92.5,37.4563
2020,23.5,93.5,36.7622
2020,23.5,94.5,35.9993
2020,23.5,95.5,36.041
2020,23.5,96.5,36.0458
2020,23.5,97.5,35.4135
2020,24.5,67.5,36.6814
2020,24.5,68.5,39.4685
2020,24.5,69.5,39.5075
2020,24.5,70.5,43.3239
2020,24.5,71.5,42.7057
2020,24.5,72.5,41.4615
2020,24.5,73.5,41.0002
2020,24.5,74.5,43.4618
2020,24.5,75.5,45.2938
2020,24.5,76.5,45.6948
2020,24.5,77.5,44.5609
2020,24.5,78.5,45.4794
2020,24.5,79.5,45.5383
2020,24.5,80.5,45.9066
2020,24.5,81.5,45.7443
2020,24.5,82.5,45.6678
2020,24.5,83.5,44.8272
2020,24.5,84.5,44.0708
2020,24.5,85.5,42.6978
2020,24.5,86.5,39.4652
2020,24.5,87.5,39.2408
2020,24.5,88.5,38.0829
