Tracker ID,TrackerLOC,ParentID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Chinese Name,Other names,Owner,Parent,Capacity (MW),Status,Year,RETIRED,Planned Retire,Combustion technology,Coal type,Coal source,Location,"Local area (taluk, county)","Major area (prefecture, district)",Subregion,Region,Previous Region,Latitude,Longitude,Accuracy,Permits,Captive,Captive industry use,Captive residential use,Alternate Fuel,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Capacity factor,Annual CO2 (million tonnes / annum),Lifetime CO2,Remaining plant lifetime (years)
G105025,L102339,P100225,https://www.gem.wiki/Jhabua_(Chetak)_power_station,India,Madhya Pradesh,,Jhabua (Chetak) power station,,,Chetak Enterprises,Chetak Enterprises,1320,cancelled,,,,unknown,unknown,,,,Jhabua,Southern Asia,Asia,South Asia,22.769455,74.592483,approximate,,,,,,8605,"96,100",53%,5.3,213.9,40
G105036,L102470,P101556,https://www.gem.wiki/Jharsuguda_CPP_power_station,India,Odisha,Unit 1,Jharsuguda CPP power station,,,Vedanta Resources Plc,Vedanta Resources,135,operating,2008,,,subcritical,unknown,,Bhurkamunda,Jharsuguda,Jharsuguda,Southern Asia,Asia,South Asia,21.7879926,84.0543607,exact,,other metals & mining,power,,,11313,"96,100",53%,0.7,18.7,26
G105037,L102470,P101556,https://www.gem.wiki/Jharsuguda_CPP_power_station,India,Odisha,Unit 2,Jharsuguda CPP power station,,,Vedanta Resources Plc,Vedanta Resources,135,operating,2008,,,subcritical,unknown,,Bhurkamunda,Jharsuguda,Jharsuguda,Southern Asia,Asia,South Asia,21.7879926,84.0543607,exact,,other metals & mining,power,,,11313,"96,100",53%,0.7,18.7,26
G105038,L102470,P101556,https://www.gem.wiki/Jharsuguda_CPP_power_station,India,Odisha,Unit 3,Jharsuguda CPP power station,,,Vedanta Resources Plc,Vedanta Resources,135,operating,2008,,,subcritical,unknown,,Bhurkamunda,Jharsuguda,Jharsuguda,Southern Asia,Asia,South Asia,21.7879926,84.0543607,exact,,other metals & mining,power,,,11313,"96,100",53%,0.7,18.7,26
G105039,L102470,P101556,https://www.gem.wiki/Jharsuguda_CPP_power_station,India,Odisha,Unit 4,Jharsuguda CPP power station,,,Vedanta Resources Plc,Vedanta Resources,135,operating,2008,,,subcritical,unknown,,Bhurkamunda,Jharsuguda,Jharsuguda,Southern Asia,Asia,South Asia,21.7879926,84.0543607,exact,,other metals & mining,power,,,11313,"96,100",53%,0.7,18.7,26
G105040,L102470,P101556,https://www.gem.wiki/Jharsuguda_CPP_power_station,India,Odisha,Unit 5,Jharsuguda CPP power station,,,Vedanta Resources Plc,Vedanta Resources,135,operating,2008,,,subcritical,unknown,,Bhurkamunda,Jharsuguda,Jharsuguda,Southern Asia,Asia,South Asia,21.7879926,84.0543607,exact,,other metals & mining,power,,,11313,"96,100",53%,0.7,18.7,26
G105041,L102470,P101556,https://www.gem.wiki/Jharsuguda_CPP_power_station,India,Odisha,Unit 6,Jharsuguda CPP power station,,,Vedanta Resources Plc,Vedanta Resources,135,operating,2008,,,subcritical,unknown,,Bhurkamunda,Jharsuguda,Jharsuguda,Southern Asia,Asia,South Asia,21.7879926,84.0543607,exact,,other metals & mining,power,,,11313,"96,100",53%,0.7,18.7,26
G105042,L102470,P101556,https://www.gem.wiki/Jharsuguda_CPP_power_station,India,Odisha,Unit 7,Jharsuguda CPP power station,,,Vedanta Resources Plc,Vedanta Resources,135,operating,2008,,,subcritical,unknown,,Bhurkamunda,Jharsuguda,Jharsuguda,Southern Asia,Asia,South Asia,21.7879926,84.0543607,exact,,other metals & mining,power,,,11313,"96,100",53%,0.7,18.7,26
G105043,L102470,P101556,https://www.gem.wiki/Jharsuguda_CPP_power_station,India,Odisha,Unit 8,Jharsuguda CPP power station,,,Vedanta Resources Plc,Vedanta Resources,135,operating,2011,,,subcritical,unknown,,Bhurkamunda,Jharsuguda,Jharsuguda,Southern Asia,Asia,South Asia,21.7879926,84.0543607,exact,EC 14 March 2007 at http://bit.ly/1kkEZs3,other metals & mining,power,,,11313,"96,100",53%,0.7,20.8,29
G105044,L102470,P101556,https://www.gem.wiki/Jharsuguda_CPP_power_station,India,Odisha,Unit 9,Jharsuguda CPP power station,,,Vedanta Resources Plc,Vedanta Resources,135,operating,2011,,,subcritical,unknown,,Bhurkamunda,Jharsuguda,Jharsuguda,Southern Asia,Asia,South Asia,21.7879926,84.0543607,exact,EC 14 March 2007 at http://bit.ly/1kkEZs3,other metals & mining,power,,,11313,"96,100",53%,0.7,20.8,29
